id,artist,summary,genre,subgenre,home,date,time,venue,bookmarked
158,Billyracxx,"Billyracxx is a creative from Eatonville, Florida who currently resides in Houston, Texas. Not dictated by his region, but by his own creation, his consistency to push to new limits through his think tank “AnahataxMilytia” has led him to reach new heights in the industry. 
The first thing that you might notice is most likely the incredible quality of his productions, especially in terms of sonic aesthetics. For instance, his instrumental mixes are always very balanced and direct, with a really deep low end and a crunchy mid-range that adds a lot of excitement to the track. In addition to that, the treble range is smooth and bright, adding a lot of silky edge to the mix.His tracks are always on the edge, as he goes the extra mile to push his creativity and always explore new ideas and musical arrangements to set the bar higher. In addition to creating world-class tracks, Billyracxx is also quite well-known for his amazing visual work. He is a talented creative director, and has the ability to match his sonic works with some really next-level visuals to go along with the songs. As a result, he was actually able to inspire a true national movement and prompt many people to follow.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership",Hip-Hop / Rap,Fusion,"Eatonville, FL","Mar 15, 2019",9:30pm-9:45pm,Empire Control Room,False
159,Billy Strings,"Billy Strings plays hard, picking so fast and intensely that he’s known to break multiple strings per song, and basing the songs he writes on the hard lives he grew up around in the abandoned rural communities of America. His latest album, Turmoil & Tinfoil, taps into a deep vein of psychedelia in Americana, referencing everything from the Dead to Sturgill Simpson, but all underlaid by Billy’s undeniable virtuosity and his knowledge of the roots of American music. He’s one of the most beloved young bluegrass guitarists today within the bluegrass community, and his front porch in East Nashville is constantly filled up with Nashville’s best roots musicians just picking up a storm. 
Billy and his band are planning to release a second full length LP in Fall 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Booking Agent - UK/Europe, Sync/Music Supervisors",Bluegrass,Psychedelic,"Nashville, TN","Mar 13, 2019",11:00pm-11:40pm,Cooper's BBQ,False
161,BIRTHH,"Songwriter, producer and instrumentalist Alice Bisi (aka BIRTHH), known for her style of interweaving frank and sharp lyrics about her personal life with spellbinding riffs, has had a keen eye for music from a young age. She released her first album, 'Born in the Woods' with the label WWNBB (We Were Never Being Boring) in March 2016. Following the release of her debut album, Alice undertook an almost non-stop touring schedule for two years around much of Europe, The United States and Canada, with appearances at festivals such as SXSW, CMW, Ypsigrock, Radar, and Home Festival. The authentic sound engineered by Alice has earned her supporting slots with many notable names such as PJ Harvey, Mac DeMarco, Andrew Bird and Benjamin Clementine. BIRTHH's sophomore album will be released in early 2019.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,R & B,"Florence, ITALY","Mar 13, 2019",1:00am-1:40am,The Velveeta Room,False
162,Bixiga 70,"Almost four centuries after the first slave ships loaded their cargoes and set sail, the connection between Brazil and West Africa remains firm and deep.  Africa is everywhere in Brazil, and it pulses through the music on Quebra Cabeça (Puzzle), Bixiga 70’s second studio album for Glitterbeat, where two continents dance together across the black Atlantic.
The result still captures the incendiary excitement of Bixiga 70 live, but the freedom of the studio brings more shade and subtlety than before. The rhythms are more sinuous than ever, snaking through the funk in way that looks more to Ghana or Nigeria than Memphis or Muscle Shoals, while the horns strut in powerful harmonies. It’s music that forges connections and retraces history while sounding absolutely contemporary. But for Bixiga 70, African will always be the root, and Brazil its beautiful, vibrant flower.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Booking Agent - US, PR/Publicity Agency, Sync/Music Supervisors",World,Instrumental,"São Paulo, SP, BRAZIL","Mar 14, 2019",12:00am-12:40am,Flamingo Cantina,False
164,Bizou,"Bizou is the sum of it's parts: propulsive post-punk bass  + wall of sheeny shoegaze guitars + shifting scales of synths + the propulsive rhythms of darkwave -- all fused together with dreamy vocals ala' Curve, Cranes, Garbage or PJ Harvey... (And this should come as no surprise, given the pedigree of the band -- comprised of members of The Smashing Pumpkins, Veruca Salt, Tennis System, Wax Idols, Jennie Vee, and Light FM.)Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Synthpop,"Los Angeles, CA","Mar 16, 2019",8:20pm-8:50pm,Elysium,False
166,Black Belt Eagle Scout,"“Having this identity—radical indigenous queer feminist—keeps me going. My music and my identity come from the same foundation of being a Native woman.”
Katherine Paul is Black Belt Eagle Scout, and after releasing an EP in 2014 Paul has wrapped up the band’s first full-length. Recorded in the middle of winter near her hometown in Northwest Washington, the landscape’s eerie beauty and Paul’s connection to it are palpable on Mother of My Children. Stemming from this place, the album traces the full spectrum of confronting buried feelings and the loss of what life was supposed to look like.
Mother of My Children is a life chapter gently preserved, and the access listeners have to such vulnerability feels special and generous. We are left wanting more, and all signs point to Black Belt Eagle Scout just getting started.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Rock,"Portland, OR","Mar 14, 2019",11:00pm-11:40pm,Cheer Up Charlie's Inside,False
167,Black Heart Saints,"Dangerous & dirty, with a distinct groove steeped in classic rock, yet with a modern edge. Black Heart Saints gives fans exactly what they want – rock god vocals catapulted over explosive, memorable riffs – leaving legions of the rock ‘n’ roll faithful yearning for more.
The soaring vocals of front-man Josh Ross have drawn comparisons to Myles Kennedy and Chris Cornell. While the band is influenced by the likes of Mötley Crüe, Guns ‘N Roses, and other legendary Hard Rock acts, the commanding presence of Black Heart Saints’ live show brandishes an updated take on the genre.
Quickly conquering some of the biggest stages and festivals in the United States, Black Heart Saints has built an impressive resume, and has been recognized as one of the nation’s top emerging rock acts, headlining major USA rock festivals including the Sturgis Motorcycle Rally. In 2019, the band was awarded ""Best Metal Band"" at the 37th Annual Austin Music Awards.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Rock,Hard Rock,"Austin, TX","Mar 16, 2019",1:05am-1:50am,Dirty Dog Bar,False
168,Blackillac,"Blackillac is a hip hop duo hailing from Austin Texas. The group consists of Emcees Phranchyze and Zeale. Between the two they have won and been finalists in MC battle competitions including Red bull Emsee, World Rap Championships, Scribble Jam, & Grindtime. They have also independently opened for the likes of Snoop Dogg, Run The Jewels, Jay Rock, Imagine Dragons, Awolnation, and many more. They came together in 2018 to form Blackillac, and with help on  production from Gary Clark Jr,   Josiah Bell and Kallaghan began releasing tracks late last year. They are embarking on their first North American Tour supporting Missio beginning in April of this year. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Alternative,"Austin, TX","Mar 12, 2019",1:00am-1:40am,Maggie Mae's,False
169,Black Midi,"
black midi are the enigmatic new London 4-piece that are quickly becoming one of the hottest new underground bands in the UK.
Taut, frenetic, inventive, and with an off-kilter sound that is so completely their own, their first (and only) release ‘bmbmbm’ was recorded in just a few hours with South London producer- Dan Carey, and had to be send to repress in a matter weeks. 
Having formed just over year ago, they have already signed to Rough Trade Records, and despite making their name at the modern-day legendary London venue that is The Windmill in Brixton, 'enigmatic' doesn't even cut it. With only the shadow of an online presence, including NTS and KEXP live radio sessions, they primarily exist as a live act, with one of the most exciting live shows around.
black midi are Geordie Greep (vocals/guitar), Cameron Picton(bass/vocals), Matt Kelvin(lead guitar) and Morgan Simpson(drums)
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label",Rock,Alternative,"London, UK-ENGLAND","Mar 12, 2019",12:00am-12:40am,British Music Embassy @ Latitude 30,False
173,Black Taffy,"Black Taffy is a Dallas based composer and performer whose current focus lies in blending ambient music with large bass and percussion. The first born son of Pentecostal music ministers, Donovan grew up witnessing the power music has to induce trance and encourage spiritual awakening. Eventually drawing parallels between christianity, voodoo and the occult, he left the former to immerse himself in the latter. Sometimes performing with a vibraphone and cassette decks, he frequently employs the use of cassette tape loops and other antiquated mediums to create pillowy worlds of wow and flutter.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Avant / Experimental,"Dallas, TX","Mar 14, 2019",8:00pm-8:45pm,ScratcHouse,False
174,Bladee,"Creating and curating the new wave of highly influential urban never-look-back music, Bladee first started gaining notoriety in 2014 for his self-released, emotionally charged take on rap; obscure and futuristic DIY tracks that quickly established an obsessive cult following in the cut-throat worlds of music and fashion alike. 
His sound has constantly been expanding and evolving since; twisted yet nuanced autotuned voices float on top of dark, angelic beats with an abundance of bass, lethal melodies and broken down rhythms as proven on standout solo album “Eversince”, released in 2016. Bladee unveiled his second studio album ”Red Light” in early 2018, a release followed up by a sold-out show at O2 Academy Islington in London plus him taking the helm as creative director for Yung Lean ́s Sadboys Gear brand shorty thereafter.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Alternative,"Stockholm, SWEDEN","Mar 14, 2019",12:20am-12:50am,The Main,False
175,BLANG,"BLANG has been DJing since the late 90s & has steadily been playing clubs & raves for over 15 yrs! This DJ/Producer from Southern California has a taste for the deep, heavy broken-beats, yet his musical background displays a wide range of musical knowledge and taste in his sets, along with technique and precise mixing ability. BLANG is also label owner of Bell Ringer Records, which releases music by stateside artists. Over the years he has been fortunate to share the stage w/artists, such as: Aphrodite, Rusko, Dieselboy, Swamp, Liquid Stranger, The Insiders, Bailey, RAW aka BBoy3000, Falinox, Nightstalker, APX1 & CRS?, Deacon, Direct Feed, Machete; to name a few. Now residing in Austin he’s held residency for 4 years w/ SONAR DNB crew! Lastly, BLANG also started a new dnb monthly, Catalyst @ Barcelona Nightclub.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label",Electronic,Electronic,"Orange County, CA","Mar 12, 2019",8:30pm-9:00pm,Plush,False
176,The Blank Tapes,"The Blank Tapes is the moniker of Los Angeles based multi-instrumentalist, Matt Adams, who has produced over a dozen albums of 1960’s inspired folk-rock-surf-psych-soul-pop on PIAPTK, Volcom, Burger Records, Antenna Farm, and others. 
“Evokes Belle and Sebastian, Pavement, and The Black Keys – in a San Fran coffeehouse (just like the old days).” – ROLLING STONE
“’50s and ’60s pop classics with ramshackle warmth.” – SPIN
“Yoke a garage-pop sensibility to ferocious rock riffs.” – THE NEW YORKER
“Perfectly classic sound.” – SF BAY GUARDIAN
“Awesome every time.” – LA WEEKLY 
""Alternating between dreamy and driving, dappled with delirious solos and seductive harmonies. The Blank Tapes radiated Ultraviolet Californian chords"" -Blackmatter blog
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Rock,"Los Angeles, CA","Mar 14, 2019",9:10pm-9:45pm,Hotel Vegas Annex,False
177,Blessed,"Formed in the early winter months of 2015 in British Columbia’s Fraser Valley, Blessed were born from a shared creative objective. From the start, its original four members found themselves naturally amalgamating elements of Post-Hardcore, Minimalism, New Wave, Krautrock, and Punk. To date, Blessed has released one single with Toronto's Buzz Records (Weaves, Dilly Dally, Greys), and two critically lauded EPs. The Fader wrote of the EP II: ""Dominated by the high-fructose riffing pioneered by Deerhoof, giving way to a darker, propulsive jam that's just as chaotic, yet well-controlled.""

Four out of Blessed’s five members cut their artistic and organizational teeth in a fiercely D.I.Y. community that developed in the most unlikely conditions. In the Fraser Valley’s sprawling collection of suburbs and farmlands, there is little cultural infrastructure. And there is even less municipal enthusiasm for the arts. It is a Lynchian setting that nurtures overt conservatism and covert creativity. Young Valley musicians were forced to creatively accommodate their burgeoning local music scene by whatever means available. They turned the basements of shared punk houses into venues.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Other Artists to Tour With, Booking Agent - UK/Europe",Avant / Experimental,Post-Punk,"Abbotsford, BC, CANADA","Mar 13, 2019",8:00pm-8:40pm,Bungalow,False
178,The Blinders,"The Blinders are a three-piece alternative group from Doncaster who are now based in Manchester. The band attempts to be in your face at all times, smelting loud and visceral political punk rock with enigmatic poetry and tones. Their diverse, unique combination of raw music creates asound which forces intense and  frenzied performances, leaving only blood-stained instruments and dropped jaws behind.
With a wide range of musical influences including literature, Iggy Pop, Nick Cave, Bob Dylan, The Fall, and John Cooper Clarke, The Blinders have created their own sound and have permeated it into their live shows which are raucous, sweaty and passionate affairs.
Debut album, 'Columbia' (produced by Gavin Monaghan) was released in the UK, Autumn 2018, to amazing feedback from audiences and critics alike. They will headline their biggest tour to date in Spring 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Alternative,"Manchester, UK-ENGLAND","Mar 14, 2019",1:00am-1:40am,British Music Embassy @ Latitude 30,False
179,Blood,"Blood is a jazz punk band from Austin, Texas that began in Tim O'Brien's Hyde Park bedroom in the Winter of 2017. After years of performing poetry and singing in experimental projects, Tim took to the bedroom with the sole intention of making a tape for his best friend in the grips of a long battle with depression. The result feels like an adolescent, whose broken into the Pentagon just to piss on the carpet and fulfill a uniform fetish with his father’s colleagues.
It is the collision...ahem collusion... of these dual energies which has ultimately expanded the project into a five piece jazz punk ensemble. At times the band sounds like the Talking Heads fronted by a murderous queer Black Francis. In other moments it sounds like Ian Curtis convinced that he sounds like Dionne Warwick; a crooning epileptic in a balladeer's ballgown. In a more general sense, the members of Blood have been brought together by a mutual instinct to curate a perverse love affair between noise and pop music.
Regardless of how much vitriol the band has allowed to seep from the stage, one can at all times feel a greater sense of militant naivety which guides the bands every move.
-Steve Job 4:20
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Punk,Jazz,"Austin, TX","Mar 12, 2019",11:00pm-11:40pm,720 Club,False
180,Blood Cultures,"""Dark, brooding electro-pop. Combining equal parts psychedelic textures and dance-worthy beats. The music produced is as murky and obscure as its creator’s true identity."" - NME
""Blood Cultures is probably one of the most enigmatic, intriguing, and all round highly elusive contemporary pop musicians."" - Earmilk
""Despite having just one track on his somewhat desolate Bandcamp and Soundcloud pages, and a non-existent Facebook / Twitter presence, Blood Cultures has become one of the most shareable artists for your social media buddies."" - The 405
""New Jersey-based mystery artist Blood Cultures piqued the interest of many when he released the gorgeously anthemic “Indian Summer” all the way back in 2013."" - Pigeons & PlanesProgramming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Electronic,Alternative,"Jersey, NJ","Mar 12, 2019",12:00am-12:40am,Maggie Mae's,False
181,Bloods,"Since their inception, Bloods have maintained their place as one of the country’s most endearing bands. Whether it’s through their highly infectious, undeniably fun punk-pop-meets-riot-grrrl tunes or their live shows, Bloods has consistently been celebrated by critics and fans alike. 
Bloods had a massive 2015, showcasing at SXSW, touring the US alongside fellow Aussies The Preatures, and naming themselves the first Aussie band to sign a publishing deal with Sub Pop Publishing. They also shared the stage with Sleater-Kinney, Wavves and Peaches. 
Taking on a much broader palette of influences ranging from shoe-gaze to 90s indie-dance, their 2018 sophomore album Feelings was recorded with producer and friend Liam Judson (‘Bliss Release’ Cloud Control/ ‘Hope Downs’ Rolling Blackouts Coastal Fever) in the games room of Liam’s parents’ house in NSW’s Blue Mountains. 
During the ‘Feelings’ campaign the band supported Veruca Salt, Alex Lahey and WAAX across their Australian tours, and supported Cloud Nothings and Rolling Blackouts Costal Fever in Sydney. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency",Rock,Pop Punk,"Sydney, AUSTRALIA","Mar 16, 2019",1:15am-1:50am,Augustine,False
182,Blu DeTiger,"21-year-old New York City polymath Blu DeTiger weaves disco house music and slap bass into a groovy tapestry that pays homage to her eclectic upbringing. Her debut single, ""In My Head,"" was produced by prolific NYC electronic duo The Knocks (Carly Rae Jepsen, Foster The People, Big Boi). Born and raised in New York, Blu takes inspiration from the city's rebel culture in the '70s. Her first live performance was a Rolling Stones tribute show at the iconic CBGB club, the testing grounds for Blondie and Talking Heads to name a few. This early experience provided the foundation for Blu's commitment to a career of bohemian experimentation, no fucks given DIY attitude, and affection for all things glitter. Blu picked up the bass at 7 years old. She quickly educated herself and mastered bass lines from songs by Prince, Sly and the Family Stone, and CHIC. Messing around on her Dad's Technics turntables helped spark her youthful interest in DJing. At 17, Blu started DJing clubs around the city, becoming a fixture at House of Yes, underground warehouse parties, and pop up fashion events. Blu currently studies at NYU's Clive Davis and is also a touring member of the alt-rock band Kitten.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Dance,Pop,"New York City, NY","Mar 12, 2019",8:05pm-8:30pm,Empire Garage,False
183,Blushh,"Blushh is what you get after your bjillionthth quarter life crisis: when you realize you've been sitting in the corner your whole  life watching the party happen from afar, never saying a word about how you felt, or standing up to grab the last cupcake. Blushh is what you really mean when you shrug it off and say ""it's fine"", when you roll your eyes and deal with it. Blushh is what you've been wanting to yell at the top of your lungs, but never had the guts to.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Pop Punk,"Los Angeles, CA","Mar 12, 2019",10:00pm-10:40pm,720 Club,False
184,Blushing,"Comprised of two husband and wife teams, Blushing originated in the summer of 2015 after Michelle Soto (guitar/vocals) shared her songs with long-time friend and classically trained vocalist Christina Carmona (vocals/bass). Picking up the bass, Carmona helped to fully flesh out tracks and the two incorporated their husbands Jake Soto on drums and Noe Carmona on lead guitar. Their debut EP ""Tether"" was self-released in 2017, followed by their EP ""Weak"" on Austin Town Hall Records in January of 2018. Gaining infectious momentum, Blushing have since been asked to play Athens Pop Fest and have shared stages with the likes of La Luz, Sunflower Bean, Broncho, Snail Mail and more.
Their latest single ""The Truth"" showcases a growth in the band's expansive, cascading sound laden with ethereal vocals and fervent guitar, simultaneously capable of reining in with emotional and melodic space. Their single comes ahead of their debut full length slated to be released in early 2019.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With",Rock,Shoegaze,"Austin, TX","Mar 11, 2019",10:00pm-10:40pm,Barracuda,False
185,BLXPLTN,"BLXPLTN (Blaxploitation), from Austin, TX, has been described as having a politically-charged punk industrial sound. These multi-instrumentalist music veterans quickly gained international recognition and support by those attracted to both their radical sound and their championing of social justice for people of color, the LGBTQ community, women, immigrants, and the generally disenfranchised, forgotten members of society. Their records Black Cop Down and New York Fascist Week have gained much critical acclaim, and their upcoming album Children of the Foreign is highly anticipated. They have been invited to play the groundbreaking Afropunk Festival in both Brooklyn and Atlanta four times, and are Red Bull Sound Select artists. This will mark their second appearance as SXSW Official Artists.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Punk,Electronic,"Austin, TX","Mar 16, 2019",11:00pm-11:40pm,720 Club,False
186,Bobby Lytes,"An entertainer at heart, Bobby Lytes is never one to shy away from the spotlight. Bobby is working his way toward making headlines, whether it's with his musical performances or political fashion statements. Bobby is ready to create new avenues of opportunity. He hails from South Florida, is a main cast member LHH Miami he has performed on over 300 stages. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Pop,"Miami, FL","Mar 16, 2019",1:00am-1:30am,The Main,False
188,body type,"Sydney four-piece Body Type make what they call 'scuzz rock'. It's a DIY affair, founded not too long ago that earned them favour quickly amongst their favourite bands, industry and beyond. It  makes  sense  that  the  four  members  have  this  almost  elemental  connection  –  the  story  of  the  band’s  inception  gives  the  sense  that  there  was  something  cosmic  involved.  It  goes  like  this:  Sophie,  after  a  period  living  in  New  York,  found  herself  in  Sydney  with  a  handful  of  Garageband  demos  needing  a  beat.  Enter  Cecil  –drummer,  old  friend  and  fellow  Perth  native  –  who  had  also  decamped  to  Sydney.  They  met  Annabel  soon  after,  and  were  completed  when  Georgia,  another  Perth  survivor,  joined  on  bass.  The  quartet  played  their  first  show  in  late-2016;  less  than  a  year  later,  they’ve  played  main  support  for  cult  heroes  Japandroids,  opened  for  luminaries  like  Frankie  Cosmos,  Big  Thief  and  The  Coathangers,  and  played  Gizzfest  and  Sydney  Festival  and main support for POND. They release their debut EP on October 19th via Partisan Records and have much more in their immediate future.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Pop,"Sydney, AUSTRALIA","Mar 13, 2019",7:15pm-7:45pm,Hotel Vegas,False
190,Bohemian Betyars,"The Budapest-based world music band incorporates a hilarious number of genres into its sound, including speed folk and freak punk. From the Poland to Spain, China to Japan, in the last couple of years this real power boost band made the audience dance about a thousand times. Be it on the street, at a club or a festival, the catchy tunes of Bohemian Betyars will yank you out of the mundane weekdays and throw you into the deep waters of delirium, just as it was planned to happen.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",World,Punk,"Miskolc, HUNGARY","Mar 15, 2019",1:00am-1:50am,Palm Door on Sixth,False
191,Boketto the Wolf,"Formed in the city of Boston, Boketto the Wolf combines raw emotion with a sensibility that leaves listeners entranced. With Texas born singer/songwriter Julia Hoffman at the helm, their songs bring to life thoughtful lyrics with vessels of layered harmonies, electric drive, soulful arrangements, and a thin layer of folk influence.
“ With our music, we try and convey stories and themes that most people can relate to without compromising our artistry... Whether it’s mental health, relationships, wanting to be there for your loved ones, or simply being mad and tired, we’re honest and we have a shit ton of fun doing it”
Boketto the Wolf is made up of Julia Marie Hoffman (vocals), Erik Grimm (Guitar/Vocals), Catherine Parke (Bass, Vocals), and Tim Washington (Drums).
Released in 2016, their debut EP ""Sleepless"" is now available on iTunes, Spotify, and Apple Music. Boketto the Wolf is currently working on their second project, set for release in 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: , Label, Management, Booking Agent - US",Rock,Indie Rock,"Boston, MA","Mar 15, 2019",1:00am-1:50am,Saxon Pub,False
196,Boogarins,"Boogarinsbegan playing music together as teenagers in the central Brazilian city of Goiânia – creating psychedelic pop in their parents’ gardens, filtering their country’s rich musical history through a very modern lens. Soon after the group’s home-recorded debut LP, ‘As Plantas Que Curam’ (2013), was released worldwide, the group was headlining clubs and playing festivals from Austin to London, Paris to Madrid, New York to San Francisco, Santiago to Mexico City, playing alongside many great artists around the world. 
With glowing praise from critics abroad and a Latin Grammy nomination, the band has it's 4th studio release ready coming. Sombrou Dúvida will be released worldwide on OAR on May 10, 2019 alongside Summer festivals.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Sync/Music Supervisors",Rock,Avant / Experimental,"Goiânia, BRAZIL","Mar 12, 2019",1:00am-1:40am,Beerland,False
199,Borzoi," This duc of whom I make mencioun,
	Whan he was come almoost unto the toun,
	In al his wele and in his mooste pride,
	He was war, as he caste his eye aside,
	Where that ther kneled in the hye weye
40	A compaignye of ladyes, tweye and tweye,
	Ech after oother, clad in clothes blake;
	But swich a cry and swich a wo they make,
	That in this world nys creature lyvynge
	That herde swich another waymentynge;
45	And of this cry they nolde nevere stenten,
	Til they the reynes of his brydel henten.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Punk,Noise,"Melbourne, AUSTRALIA","Mar 16, 2019",12:15am-12:45am,Volstead,False
201,Boy Azooga,"Boy Azooga’s  is piloted by Davey Newington, a young man with much musical heritage. One of his granddads was a jazzer who played drums for the Royal Marines. Davey’s dad (violin) and his mum (clarinet) both played, and met, in the BBC National Orchestra Of Wales. Davey himself also enjoyed orchestral engagement, playing in various Welsh Orchestra’s and Jazz bands as a teenager.
Davey’s vocals and arrangements carry the tunefulness of The Super Furry Animals. But the palette extends far beyond singer-songwriterly poignancy. Davey recruited friends Daf Davies, Dylan Morgan and Sam Barnes to form the Boy Azooga live quartet, an ensemble that swings smoothly from filmic instrumentals to a churning, rave-tinged rock that hints at both Can and their progeny in Tame Impala.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Pop,"Cardiff, UK-WALES","Mar 13, 2019",11:45pm-12:25am,Swan Dive,False
202,Boy Scouts,"Taylor Vick makes music that is instantly comforting and arrestingly beautiful. Under her songwriting moniker Boy Scouts, the Bay Area artist has spent over a decade refining her craft, penning heartbreak confessionals over glitchy drum loops since Myspace days. It wasn't until 2015 that Vick put together a live band and became a staple of San Francisco and Oakland lineups.
On her forthcoming album, it feels like Boy Scouts has truly arrived. Recorded and produced by Stephen Steinbrink, every element exists purely to serve the songs - the bass lines bounce and guitars are lush, but nothing gets in the way of Vicks true superpower, her voice. Delicately layered harmonies exude an effortless grace, and make the most casual lyrics hit the hardest. There's something so honest about her songs, they feel like late night therapy sessions with your best friend.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With, Booking Agent - UK/Europe, Publishing",Singer-Songwriter,Indie Rock,"Oakland, CA","Mar 14, 2019",11:00pm-11:40pm,CU29,False
203,Branjae,"Branjae is the birth child of Classic Soul, Funk and R&B. With a culmination of lyrical depths, energetic theatrical performances and genre fluidity, her storytelling style comes as unique as the personas she embodies. Branjae’s fearless and energetic showcase, encourages elevated consciousness by connecting with her audiences for the soul purpose of creating unity and harmony. Singing, dancing, and acting her way into the hearts of concert audiences from Tulsa to Austin’s SXSW, from Atlanta to Chicago, and across the sea to England, Branjae has developed a tailing of followers. She went on to earn awards from Absolute Best of Tulsa, nominations from We are Tulsa Music, and recently gained recognition from Oklahoma Magazine for being named as Oklahoma Best of 2018 alongside Hanson and The Flaming Lips. Branjae has developed an abundance of experience as an entertainer. She’s opened/shared the stage with Thundercat, Fishbone, Ohio Players, RC and the Grits (Erykah Badu’s current band), Andy Frasco and the late Waymen Tisdale. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Distribution - US, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency",Soul,Avant / Experimental,"Tulsa, OK","Mar 14, 2019",9:45pm-10:30pm,Augustine,False
205,Brian Temba,"Brian Temba is a musician, singer, songwriter and actor, originally from Soshanguve,
North of Pretoria (Tshwane). He began his music career as a backing singer for
different artists including; Hugh Masekela, Jonathan Butler, Vicky Vilakazi. He was
part of trailblazing groups such as Joyous Celebration, Family Factory and IV U (For
You).Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",R & B,R & B,"Tshwane, SOUTH AFRICA","Mar 15, 2019",10:00pm-10:20pm,Dirty Dog Bar,False
